id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
1,女性,1987,N,N,N,N,1.65,N,皮肤白，大眼睛,N,本科,4,重点大学毕业,N,N,银行,200000,N,N,N,居住地在长宁区,大眼睛,男性,1980,N,1980年后出生,上海户口,N,N,1.75,N,有责任心,无不良嗜好,N,N,稳定,N,有婚房,N,81年不考虑。家境较好，有独立婚房。靠近长宁区,81年不考虑,N
2,男性,1983,浙江,有上海户口,N,N,1.83,N,N,N,研究生,5,N,N,金融,N,300000,有房,父亲法律工作者，母亲退休,N,上海房产两套，其他地方多套,N,女性,1987,N,1987年后出生,N,N,N,1.65,颜值高,N,N,本科,4,N,N,要有婚房,单亲家庭勿扰,89年不要，独生女，家庭条件相当,89年不要,Y
3,男性,1970,上海,有上海户口,N,单身,1.75,N,N,N,N,N,N,Y,N,日企经理,N,有房,N,N,备有婚房,N,女性,N,N,N,上海户口,N,未婚,N,N,温柔贤惠,N,N,N,白领工作,N,N,N,条件相当,白领工作,Y
4,男性,1983,上海,有上海户口,上海,N,1.8,N,N,N,本科,4,N,N,N,汽车企业,120000,有房,N,N,备有婚房,N,女性,1986,1988,1986年到1988年间出生,N,N,N,1.64,N,本分,N,本科,4,稳定工作,N,N,N,N,本分,N
5,女性,1988,上海,有上海户口,上海,N,1.69,N,清纯、秀丽、有气质,善良、进取、阳光、有责任心,研究生,5,重点大学毕业,N,N,大型国企,200000,N,知识分子家庭,N,N,N,男性,1983,1988,1983年到1988年间出生,N,N,未婚,1.75,相貌姣好,N,不抽烟,本科,4,N,N,N,N,条件相当,不抽烟,Y
6,男性,1983,N,有上海户口,N,N,1.7,N,长相端正,正直、本分、上进、开朗、知识面较广,本科,4,N,N,N,德企客户经理,162000,有房,纯朴家风，父母均为事业单位退休,无不良嗜好，不烟酒,备有婚房,纯朴家风,女性,N,N,N,N,N,未婚,1.6,不胖,N,N,本科,4,N,N,N,N,有良好素养，家教好,不胖,N
7,女性,1989,湖南,没有上海户口,N,N,1.6,N,N,上进、文静、孝顺,本科,4,重点大学毕业,N,N,N,240000,N,N,无不良嗜好,N,N,男性,1982,1988,1982年到1988年间出生,N,N,未婚,1.7,N,N,不抽烟、不贪酒,N,N,N,300000,有婚房,N,N,不贪酒,N
8,男性,1980,N,有上海户口,N,单身,1.74,N,N,N,本科,4,N,N,N,网络工程师,100000,有房,N,N,静安区独立婚房,N,女性,1984,1985,1984年到1985年间出生,上海户口,N,N,N,不要胖,N,N,N,N,工作稳定,N,N,N,N,不要胖,N
9,男性,1991,N,有上海户口,N,N,1.8,N,N,积极向上、随和、有责任心,研究生,5,N,N,N,金融,N,有房,N,N,备有婚房,N,女性,1991,N,1991年后出生,N,N,N,1.62,N,乐观开朗，容易相处,N,本科,4,N,N,要有婚房,N,工作不要太忙,不要太忙,N
10,男性,1983,N,有上海户口,N,N,1.75,N,N,N,本科,4,N,N,N,财务主管,660000,有房,N,N,备有婚房,N,女性,1983,N,1983年后出生,N,N,N,1.58,不要太胖,本分,N,中专,1,N,N,N,N,N,不要太胖,N
11,女性,1989,N,N,N,N,1.7,N,N,N,本科,4,重点大学毕业,N,N,美企财务,120000,N,N,N,N,N,男性,1985,N,1985年后出生,N,N,N,N,不要太胖,N,N,本科,4,N,120000,N,N,N,不要太胖,N
12,男性,1983,N,有上海户口,N,N,1.72,N,N,N,本科,4,N,N,N,财务,120000,有房,N,N,有两套房,N,女性,1984,N,1984年后出生,上海户口,N,N,1.58,瘦长,N,N,大专,3,营业员不要,N,N,N,N,不要营业员,N
13,男性,1980,上海,N,N,单身,1.71,N,N,N,本科,4,N,N,N,IC研发,250000,有房,N,N,备有住房,N,女性,1983,N,1983年后出生,上海户口,N,未婚,1.6,气质较好,不装不作，健康开朗,N,N,N,N,N,N,N,同男孩独立成家生活,不装不作,N
14,男性,1982,浙江宁波,有上海户口,N,N,1.72,N,N,性格好,研究生,5,N,N,N,公务员,N,有房,N,N,备有婚房。独生子,N,女性,1985,N,1985年后出生,江浙沪,N,未婚,1.6,相貌中上,不做作,N,本科,4,N,N,N,N,有结婚目的,不做作,N
15,女性,1987,N,有上海户口,N,单身,1.69,51.5,容貌好、身材苗条,开朗善良,研究生,5,重点大学毕业,N,金融,央企,180000,有房,N,N,独生女,开朗善良,男性,1982,1987,1982年到1987年间出生,N,N,N,1.76,N,有责任心，个人能力强，积极向上，人品好,N,N,N,N,300000,有婚房,N,有些经济基础的城市家庭男孩,城市男孩,N
16,男性,1977,N,N,N,离异,N,N,N,忠厚老实,本科,4,N,N,N,外企白领,180000,有房,N,N,两个月婚史，无孩，有婚房,短婚无孩,女性,1980,N,1980年后出生,N,N,N,N,N,传统本分会过日子，性格好,N,N,N,N,N,N,N,N,传统本分,N
17,女性,1989,N,没有上海户口,N,N,1.6,N,N,N,N,N,重点大学毕业,N,N,N,300000,N,N,N,N,N,男性,1982,1988,1982年到1988年间出生,N,上海,N,1.7,N,N,不吸烟、不贪酒,N,N,N,N,N,N,在上海工作。条件相仿。有能力购房者,传统顾家,Y
18,女性,1985,N,有上海户口,上海,单身,1.61,N,N,才德兼备,研究生,5,重点大学毕业,N,N,律师,500000,有房,知识家庭,N,党员。有市区商品房一套。独女,才德兼备,男性,1979,N,1979年后出生,N,N,未婚,1.7,品貌端正,性格温和，健康稳重,N,本科,4,N,N,N,N,地域不限,地域不限,N
19,男性,1984,N,N,N,N,1.76,67,容貌端正,老实、随和、善良,本科,4,N,N,N,外企财务,180000,有房,N,N,党员。备有婚房,老实随和,女性,1986,1989,1986年到1989年间出生,N,N,N,1.6,长相中上,为人善良，懂得包容,N,大专,3,N,N,N,N,N,懂得包容,N
20,女性,1984,N,有上海户口,N,N,1.59,N,N,温柔大方、心地善良、尊敬父母,本科,4,N,N,N,财务,N,N,N,N,N,N,男性,1979,1984,1979年到1984年间出生,N,N,N,N,N,重感情、有上进心,N,大专,3,工作稳定,N,N,N,懂生活,懂生活,N
21,女性,1988,N,N,N,N,1.65,N,肤白清秀，身材匀称,N,本科,4,N,N,N,外企会计,N,N,N,N,N,N,男性,1983,1988,1983年到1988年间出生,上海户口,N,N,N,N,阳光、大气,N,研究生,5,N,N,要有婚房,N,独生子女。学历相当,独生子女,N
22,女性,1987,N,有上海户口,N,单身,1.65,N,N,N,研究生,5,N,N,N,电商金融风控,N,有房,父亲公务员，母亲退休,N,有车有房（内环两套）,内环有房,男性,N,N,N,N,N,N,1.75,N,成熟稳重，性格开朗，有上进心,N,研究生,5,N,N,N,N,独子,独子,N
23,男性,1981,上海,有上海户口,N,N,1.78,N,N,N,本科,4,N,N,N,大学工程师,N,有房,N,N,备有婚房,N,女性,1983,N,1983年后出生,N,N,N,1.62,不要太胖,脾气要好、人品好、易沟通,N,大专,3,财会、金融人员不谈,N,N,N,N,非财会金融,N
24,男性,1983,N,有上海户口,N,N,1.83,N,N,N,研究生,5,N,N,金融,金融,300000,有房,父亲法律工作者，母亲退休,N,上海房产两套，其他地方多套,房产多套,女性,1986,1991,1986年到1991年间出生,N,N,N,1.65,颜值高,N,N,本科,4,N,N,要有婚房,单亲家庭勿扰,家庭条件相当,非单亲家庭,Y
25,男性,1989,N,有上海户口,N,N,1.66,N,N,性格温和、有责任心,本科,4,N,N,会计,机关事业单位,N,有房,N,无不良嗜好,养育在传统家庭。备有婚房,传统家庭,女性,1990,N,1990年后出生,N,N,未婚,1.58,N,能顾家,无不良嗜好,本科,4,有稳定工作,N,N,家庭和睦，父母有养老保障，父母离异者免谈,家庭和睦。有婚史免谈,父母不离异,N
26,男性,1988,浙江,N,澳大利亚悉尼,N,1.75,N,N,性格开朗、事业心强,研究生,5,重点大学毕业,N,N,N,N,有房,父母齐全,N,收入中上。备有婚房,父母齐全,女性,1988,N,1988年后出生,N,澳大利亚悉尼,N,1.6,N,阳光贤惠,N,本科,4,N,N,N,父母齐全,N,父母齐全,N
27,女性,1977,N,有上海户口,N,单身,1.68,N,N,N,N,N,N,N,N,外企,200000,有房,N,N,备有婚房,N,男性,1974,1980,年龄相仿,N,N,N,1.7,N,有事业心,N,本科,4,工作稳定,N,N,N,父母事业单位退休人员,父母事业单位,N
28,女性,1978,N,有上海户口,N,单身,1.65,N,N,N,本科,4,N,N,N,外企会计,N,有房,N,N,备有婚房，收入尚可,N,男性,1970,N,1970年后出生,N,上海,未婚,1.7,N,N,N,本科,4,工作稳定,N,N,N,父母均退休,父母退休,N
29,女性,1989,N,有上海户口,N,N,1.57,N,身材匀称、长相清秀、气质较好,N,N,N,N,Y,N,外企,N,N,N,兴趣广泛，爱好绘画、音乐、运动,独女。英语专八,英语专八,男性,N,N,N,N,N,未婚,1.7,N,阳光、开朗、有责任心,N,N,N,N,N,N,N,要干净、优秀,干净优秀,N
30,女性,1978,江西,没有上海户口,上海,N,1.62,N,N,N,中专,1,N,N,N,个体户,N,有房,N,N,备有婚房,N,男性,N,N,N,N,N,N,N,N,N,N,N,N,经商,N,N,N,N,工作经商,N
31,女性,1983,N,有上海户口,N,N,1.6,N,N,N,本科,4,N,N,N,外企研发,200000,有房,父母退休,N,备有婚房,N,男性,N,N,N,N,N,N,1.7,相貌端正,N,N,N,N,N,N,N,N,有类似工作背景,工作相似,N
32,女性,1975,N,N,N,离异,1.68,N,气质高雅,知书达理、善解人意、性格开朗,研究生,5,重点大学毕业,N,N,上校军官,N,N,N,N,短婚未育,上校军官,男性,1965,1975,1965年到1975年间出生,N,N,N,1.7,N,重情宽厚，诚实有爱心、有责任心，好学上进,N,本科,4,军人、高校教师、公务员、科研人员优先,N,N,N,N,公职优先,N
33,女性,1987,N,N,N,单身,1.7,N,肤白、漂亮、气质高雅,聪慧、心善性慈、端庄贤惠,本科,4,重点大学毕业,N,N,品牌传播机构高管,300000,N,高知家庭，父亲南方人，母亲北方人，大气、细腻、豪爽,爱好钢琴、旅游、英语,N,心善性慈,男性,N,N,N,N,N,N,N,N,人品好，有上进心、家庭责任心，心胸开阔,N,N,N,N,N,N,N,相互成就，共同拓展人生宽度,共拓展宽度,N
34,男性,1965,上海,有上海户口,N,单身,1.73,N,N,本分,N,N,N,N,N,环境卫生公司,60000,N,N,无不良嗜好,N,N,女性,N,N,N,上海户口,N,N,1.6,过目不忘,N,N,N,N,N,N,N,N,独生女,过目不忘,N
35,女性,1983,上海,有上海户口,N,单身,1.63,N,相貌端正、身材匀称,N,本科,4,N,N,N,事业单位,N,N,N,N,感情经历纯洁，英语良好,情史纯洁,男性,1975,1983,1975年到1983年间出生,N,N,N,1.7,N,性格开朗、为人踏实,N,本科,4,N,N,N,N,优秀可共同购房。海外籍45岁左右，有婚史条件尚好可考虑,海外籍优先,N
36,女性,1965,N,N,N,离异,N,N,颜值高、气质雅、娇小玲珑,人品优、能力强,大专,3,N,N,中文,教师,N,N,一子大学毕业，已工作并成家,N,多才多艺,儿子已成家,男性,1955,1961,年龄相仿,N,N,N,N,N,N,N,N,N,N,N,N,N,条件特别优秀，涵养高，独居,涵养高,N
37,女性,1980,N,有上海户口,N,单身,1.69,N,身材修长、五官端正、外貌气质较好,文静贤惠淳朴、学习、工作踏实、有钻研、上进精神、孝敬父母,本科,4,N,N,N,外资银行主管,N,N,父科研人员退休；母教师退休,N,专业英语八级，已考得注册会计师证,钻研精神,男性,1972,1980,1972年到1980年间出生,N,N,N,1.75,N,待人能互敬、互谅、互助、互爱、有较高文明素养，有事业心责任感,N,N,N,N,N,有婚房,家境良好,N,互助互爱,N
38,男性,1985,N,N,N,离异,1.81,N,N,N,大专,3,N,N,N,写字楼管理,100000,有房,N,N,三套房。有女儿归前妻，不来往,女儿不来往,女性,1985,1990,1985年到1990年间出生,N,N,未婚,1.6,N,N,N,本科,4,N,N,N,N,上海女孩子要短婚未育，浙江女孩子要未婚,户籍定要求,N
39,男性,1989,N,N,西班牙巴塞罗那,单身,1.71,N,N,阳光,研究生,5,N,N,N,航天工程师,N,N,N,N,家境好,航天工程师,女性,1986,1992,1986年到1992年间出生,上海户口,西班牙,未婚,N,N,N,N,N,N,N,N,N,N,会英语,会英语,N
40,女性,1987,N,有上海户口,N,N,1.7,N,清秀、苗条,N,本科,4,N,N,N,N,N,N,知识分子家庭,N,家教、家境优,N,男性,1982,1987,1982年到1987年间出生,上海户口,N,N,1.76,N,人品好，性格温厚，暖男,N,本科,4,N,N,N,N,家风要好,家风要好,N
41,男性,1982,N,有上海户口,N,单身,1.74,N,N,N,本科,4,N,N,N,证券公司,200000,有房,N,N,中环超百平婚房,N,女性,1984,1987,1984年到1987年间出生,N,N,N,N,长相好,N,N,N,N,N,N,N,N,家境好,家境好,N
42,男性,1980,N,有上海户口,N,单身,1.84,N,英俊潇洒,性格开朗、善于人际沟通、兴趣爱好广泛,博士,6,重点大学毕业,Y,生物化学,跨国企业总监,1300000,N,父检察官，母大学钢琴老师,钢琴十级，擅长中英文演讲,N,擅长演讲,女性,1985,N,1985年后出生,N,N,N,1.65,长相清秀,N,N,本科,4,N,N,N,N,家境相仿，家庭经济条件优越的江浙两省新上海人也可,家境相仿,N
43,女性,1984,N,有上海户口,N,N,1.69,52,N,传统、温柔、善良、孝顺、三观正、品德优、上得厅堂下得厨房,研究生,5,N,N,N,机关事业单位,N,有房,N,N,独女。备有婚房,上厅堂下厨房,男性,N,N,N,N,N,未婚,1.78,N,阳光、善良，三观正、品德优，出身传统家庭,N,N,N,N,N,N,N,N,家庭传统,N
44,女性,1990,N,N,N,单身,1.66,N,气质佳,人品好、性格开朗、孝顺,本科,4,N,N,英语,民企,N,N,父亲央企退休职工，母亲退休教师，父母同情达理，一家三口非常和顺,N,独女,家庭和顺,男性,N,1990,1990年前出生,N,N,N,N,N,阳光、开朗、孝顺,无不良嗜好,本科,4,N,N,N,家庭和睦，父母同情达理,工作能力强。有缘,家庭和睦,N
45,女性,1985,辽宁,有上海户口,N,N,1.58,N,N,N,研究生,5,N,N,N,研究所设计工程师,N,有房,军人家庭出身，父母退休落户上海,N,人才引进。英语6级。备有婚房,英语6级,男性,1980,1985,1980年到1985年间出生,N,N,未婚,1.66,N,N,N,本科,4,工作稳定,N,N,家庭成员结构正常。家庭无遗传病史,谈得来,家庭结构正常,N
46,男性,1985,浙江,有上海户口,上海,N,1.73,65,N,N,研究生,5,重点大学毕业,N,电力电子,外企高级工程师,370000,有房,N,N,上海有商铺,N,女性,1988,1990,1988年到1990年间出生,上海户口,N,N,1.62,N,N,N,本科,4,N,N,N,双亲家庭,重点大学优先。有眼缘，条件相符，家在江南一带为宜,家在江南,Y
47,女性,1991,N,N,美国,N,1.6,N,皮肤白皙，不乏江南女子的灵气,活泼开朗,本科,4,重点大学毕业,Y,金融,N,N,N,N,N,美国加州工作,不乏灵气,男性,1988,1994,年龄相仿,N,美国,N,N,N,N,N,N,N,N,N,N,家长和睦,在洛杉矶工作或读博,家长和睦,N
48,女性,1990,N,N,N,N,1.66,N,气质佳,人品好、性格开朗、孝顺,N,N,N,N,英语,上市公司,N,N,父亲央企退休，母亲退休教师，家庭和睦,N,独生女,独生女,男性,N,1990,1990年前出生,N,N,N,N,N,人品好、开朗、孝顺、工作能力强、阳光,无不良嗜好,本科,4,N,N,N,N,家庭和睦，父母通情达理,家长明理,N
49,女性,1949,N,N,N,丧偶,1.6,N,N,N,高中,2,N,N,会计,N,N,N,一儿子已成家，独居一房,爱好养生、戏曲、旅游,已退休,爱好养生,男性,N,N,N,N,N,丧偶,1.72,N,人品素质佳,没有不良嗜好,N,N,N,N,有婚房,N,身体健康。有独立住房但郊远谢绝,郊远谢绝,N
50,女性,1975,河南,N,N,N,1.58,50,肤白貌美,N,N,N,N,N,N,个体户,N,N,N,N,N,N,男性,N,N,N,N,N,未婚,N,N,能居家过日子、心地善良,无不良嗜好,N,N,N,N,有婚房,N,可接受女儿,接受女儿,N
51,男性,1979,江苏海门,N,N,单身,1.68,60,N,N,本科,4,N,N,N,N,240000,N,N,无不良嗜好,N,N,女性,1979,1985,年龄相仿,N,N,N,1.55,身材匀称,N,N,N,N,工作稳定,N,N,N,可接受先租房后理性买房，或者二比一出资共同购房,接受先租房,N
52,女性,1992,江苏,N,N,N,1.61,N,微胖,N,中专,1,N,N,N,N,N,N,N,N,N,N,男性,1985,N,1985年后出生,N,N,N,1.7,N,阳光,N,N,N,N,N,N,N,经济条件比女方好,经济比女方好,N
53,女性,1992,江苏,N,N,N,1.61,N,稍胖,N,大专,3,N,N,N,N,N,N,N,N,N,稍胖,男性,1985,N,1985年后出生,N,N,N,1.7,N,阳光,N,N,N,N,N,N,N,文化不要求太高，但经济条件要求比较好。长相要求不要太高,经济条件好,N
54,女性,1986,N,N,N,N,1.63,N,相貌端正,为人善良,研究生,5,N,Y,N,N,N,N,N,N,现第二学位在读，明年毕业,明年毕业,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,经历相近,经历相近,N
55,女性,1979,山东济宁,没有上海户口,N,N,1.62,N,N,N,本科,4,N,N,N,电脑公司IT,120000,N,父母退休,N,N,N,男性,N,N,N,N,N,未婚,1.7,N,敬业爱家,N,大专,3,稳定收入,N,N,N,N,敬业爱家,N
56,男性,1991,N,N,N,N,1.76,N,N,N,研究生,5,N,Y,金融,互联网资产管理公司,120000,有房,N,N,备有婚房,N,女性,1990,1995,1990年到1995年间出生,上海户口,N,N,1.6,N,N,N,本科,4,N,N,N,N,就近优先考虑,就近,N
57,女性,1989,上海,有上海户口,N,N,1.59,N,N,N,本科,4,N,N,N,外资银行,N,有房,N,N,家境尚可。备有婚房,家境尚可,男性,N,N,N,N,N,未婚,1.7,拒胖,N,N,本科,4,N,N,要有婚房,N,N,拒胖,N
58,男性,1987,N,N,N,N,1.75,N,N,有责任心、孝心、大气,本科,4,N,N,金融学,银行,400000,有房,N,N,N,N,女性,1989,1991,1989年到1991年间出生,N,N,N,1.6,清秀,性格开朗、文静,N,本科,4,N,N,N,N,N,开朗文静,N
59,女性,1982,湖北,有上海户口,N,N,1.63,N,N,N,研究生,5,重点大学毕业,N,N,央企高级工程师,N,有房,父母均已退休,N,在浦东已购住房,N,男性,N,N,N,N,N,未婚,1.7,N,N,N,本科,4,N,N,要有婚房,N,性格相宜，聊得来，其他还是看沟通和缘分,看沟通缘分,N
60,女性,1988,浙江台州,N,N,N,1.65,N,漂亮,N,本科,4,N,N,N,银行,120000,N,N,N,在编人员,银行在编,男性,1983,N,1983年后出生,N,上海,N,1.75,N,N,N,N,N,N,N,有婚房,N,共同购房也可以,可共同购房,N
61,女性,1978,上海,有上海户口,N,单身,1.62,N,N,N,本科,4,N,N,N,企业财务,120000,有房,知识分子家庭出身,N,备有婚房，无同居史,无同居史,男性,N,N,N,N,N,未婚,N,N,传统,N,N,N,N,N,N,N,区域不限、可共同买房,可共同买房,N
62,男性,1972,N,N,N,单身,1.72,62.5,貌俊,N,大专,3,N,N,N,公务员,200000,有房,N,烟酒不沾,老闵行电梯商品房两套，无贷,电梯商品房,女性,N,N,N,N,N,N,N,N,温和、会过日子,N,N,N,N,N,N,N,可以生育、体重体型相配,可以生育,N
63,女性,1992,N,N,N,N,1.64,50,身材匀称、肤白清秀,成熟、善良、勤奋、优雅,本科,4,重点大学毕业,N,传媒,美资企业,N,有房,成长于双军人家庭,N,双学位。有房无贷，家境优越,双军人家庭,男性,1985,1991,1985年到1991年间出生,上海户口,N,N,1.78,长相英俊、不要太胖,心智成熟、有责任感、恪守初心,N,本科,4,N,N,要有婚房,N,N,恪守初心,N
64,女性,1981,N,有上海户口,N,单身,1.6,N,N,N,研究生,5,重点大学毕业,Y,N,规划公司总监,400000,有房,N,N,备有婚房。持有国家注册规划师资格,N,男性,1976,1981,1976年到1981年间出生,N,N,N,1.7,N,品行端正、性格开朗、重视家庭,N,本科,4,固定工作,N,N,N,身体健康。有固定工作或至少有一项专业技术保障自己。能快乐生活、优秀,快乐生活,N
65,男性,1981,N,有上海户口,N,单身,1.6,N,N,N,博士,6,重点大学毕业,Y,N,国家规划公司,400000,有房,N,N,N,N,女性,1976,1981,1976年到1981年间出生,N,N,N,1.7,N,性格开朗、重视家庭、品行端正,N,本科,4,工作稳定,N,N,N,身体健康，能快乐生活，优秀,快乐生活,N
66,女性,1986,江苏,有上海户口,N,N,1.68,N,N,N,研究生,5,重点大学毕业,N,金融,银行总行,N,N,父母公务员,N,收入丰厚。有购房能力,有购房能力,男性,N,N,N,N,N,N,N,N,真诚善良，有责任感，宽厚知性,N,N,N,N,N,N,N,条件相当,宽厚知性,Y
67,男性,1978,上海,有上海户口,上海,N,1.72,N,N,N,研究生,5,N,N,N,事业单位,84000,有房,N,N,备有婚房,N,女性,1982,N,1982年后出生,N,N,N,1.6,N,N,N,N,N,老师,N,N,N,事业单位优先,老师工作,N
68,男性,1984,重庆,没有上海户口,N,N,1.7,N,N,N,研究生,5,重点大学毕业,N,N,高科技公司研发,N,N,父母退休,N,自己创业,N,女性,1987,1990,1987年到1990年间出生,N,N,N,1.6,N,N,N,N,N,N,N,N,N,学历相当。乐于沟通,乐于沟通,N
69,男性,1985,上海,N,N,N,1.77,N,帅气,阳光,本科,4,N,N,N,央企,300000,有房,N,N,备有婚房,N,女性,1988,N,1988年后出生,N,N,N,N,靓女、甜美可爱,传统、善良,N,N,N,N,N,N,N,N,靓女,N
70,女性,1990,N,有上海户口,N,单身,1.68,N,N,性格大方、聪明、独立、文雅、善良、知书达理,研究生,5,重点大学毕业,N,金融统计,世界500强财务分析,N,有房,N,N,独生女。备有婚房,N,男性,N,N,N,N,N,N,1.75,N,性格开朗、诚实、有上进心、有责任感、孝顺,N,本科,4,N,N,N,N,能聊得来,聊得来,N
71,男性,1983,浙江温州,N,N,N,1.83,N,英俊帅气,N,N,N,N,N,N,IT软件工程师,N,有房,N,N,技术骨干，备有婚房,技术骨干,女性,1987,N,1987年后出生,N,N,N,1.65,灵秀,贤惠,N,N,N,N,N,N,N,N,灵秀,N
72,男性,1981,N,N,N,N,1.85,N,帅气,勤劳、阳光,本科,4,N,N,N,私企,N,有房,N,无不良嗜好,别墅，名车,别墅名车,女性,N,N,N,N,N,N,1.6,N,善良,N,N,N,N,N,N,N,有留学经历更好,留学经历,N
73,女性,1987,N,有上海户口,N,单身,1.65,N,貌好,文静、善良、贤惠,研究生,5,N,N,N,金融公司,250000,有房,知识家庭,N,上海有新商品房，无贷款。家境优,N,男性,1982,1987,1982年到1987年间出生,N,N,未婚,1.73,貌端体均,有责任心,N,本科,4,N,N,要有婚房,N,N,貌端体均,N
74,女性,1991,N,N,美国,N,1.66,N,肤白体匀,纯洁善良,本科,4,重点大学毕业,Y,N,N,N,N,N,N,三个专业毕业,三个专业,男性,1983,N,1983年后出生,N,美国,N,1.75,N,有事业心、有爱心、成熟稳重,N,N,N,N,N,N,N,身心健康。美国身份更佳,美国籍优先,N
75,男性,1979,N,有上海户口,N,N,1.72,N,N,N,本科,4,N,N,N,网络主管,100000,有房,N,N,备有婚房。另自己开公司,自己创业,女性,1983,1984,1983年到1984年间出生,N,N,N,1.6,N,N,N,N,N,N,N,N,N,住闵行区域不考虑,闵行区以外,N
76,女性,1980,N,有上海户口,N,单身,1.65,N,N,N,博士,6,重点大学毕业,N,N,大学老师,N,有房,N,N,备有婚房，独生女,N,男性,1975,N,1975年后出生,N,N,未婚,1.73,N,为人诚实,N,本科,4,N,N,N,N,硕士或名校本科优先，收入尚可,名校本科,N
77,女性,1984,N,有上海户口,N,单身,1.6,N,N,N,研究生,5,重点大学毕业,N,N,金融单位,N,有房,父母均为教师,N,内环旁三室两厅无贷,N,男性,1980,N,1980年后出生,N,N,未婚,1.7,N,人品好,N,N,N,N,N,N,N,名校毕业,名校毕业,N
78,女性,1990,上海,N,N,单身,1.61,N,气质佳,善良、温柔、体贴、大方,N,N,N,N,N,国企,N,N,N,N,双学位。独生女,N,男性,1985,1995,1985年到1995年间出生,N,N,未婚,1.75,N,有责任心,N,N,N,稳定工作,N,有婚房,N,名校全日制,名校全日制,N
79,女性,1982,N,没有上海户口,N,单身,1.6,N,相貌中上,斯文善良,本科,4,N,N,N,品牌经理,500000,N,N,爱看书、看电影、写作,N,N,男性,1978,1986,1978年到1986年间出生,N,N,N,1.7,N,N,无不良嗜好,本科,4,N,N,N,N,志同道合，收入相当，暖男,暖男,N
80,男性,1990,N,N,N,单身,1.74,68,N,性格外向、阳光,本科,4,N,N,N,网络开发推广,N,有房,N,N,上海及外地有多套房产,N,女性,1990,N,1990年后出生,N,N,N,1.62,不胖、相貌中上、皮肤较好,聪明、孝顺,N,大专,3,N,N,N,N,N,皮肤较好,N
81,男性,1977,N,有上海户口,N,N,1.7,N,N,N,本科,4,N,N,N,软件工程师,120000,有房,N,N,备有婚房,N,女性,1982,N,1982年后出生,N,N,N,N,漂亮,N,N,N,N,N,N,N,N,N,漂亮,N
82,男性,1977,上海,有上海户口,上海,N,1.7,N,N,N,本科,4,N,N,N,软件工程师,120000,有房,N,N,备有婚房,N,女性,N,N,N,N,N,N,1.6,漂亮点,N,N,N,N,N,N,N,N,户籍不限,漂亮点,N
83,男性,1983,上海,N,N,单身,1.68,N,N,N,研究生,5,重点大学毕业,N,N,央企机电经理,200000,有房,N,N,党员，备有婚房,N,女性,N,N,N,N,N,N,N,靓丽,善良、传统,N,N,N,N,N,N,N,最好住在浦东,浦东优先,N
84,女性,1986,福建,N,N,N,1.65,N,N,N,本科,4,N,N,N,美资科技公司,200000,N,N,N,N,N,男性,N,N,N,N,N,N,N,N,品德好，积极上进，热爱生活,N,N,N,N,N,N,N,N,热爱生活,N
85,女性,1983,上海,有上海户口,N,单身,1.7,N,N,人品好、气质佳、综合素质高,研究生,5,N,N,N,公务员,N,N,N,N,N,综合素质高,男性,1978,1983,1978年到1983年间出生,N,N,未婚,1.75,N,人品第一,无不良嗜好,本科,4,工作稳定,N,N,N,收入相当,人品第一,N
86,女性,1983,浙江,有上海户口,N,单身,1.7,N,气质佳,人品好,研究生,5,重点大学毕业,N,N,公务员,N,N,N,N,独生女,N,男性,1978,1983,1978年到1983年间出生,N,N,未婚,1.75,N,人品第一,无不良嗜好,本科,4,工作稳定,N,N,N,收入相当,人品第一,N
87,男性,1977,N,有上海户口,N,离异,1.75,N,N,N,博士,6,N,N,N,科研人员,84000,有房,N,N,备有婚房，领证未婚,N,女性,N,1990,1990年前出生,N,N,N,1.59,容貌中等,N,N,大专,3,N,N,N,N,N,容貌中等,N
88,男性,1983,N,没有上海户口,N,单身,1.78,N,N,N,研究生,5,N,N,N,大型互联网公司,360000,N,N,N,N,N,女性,1985,N,1985年后出生,N,N,N,N,N,善良活泼,N,N,N,N,N,N,N,N,善良活泼,N
89,女性,1991,上海,N,澳大利亚悉尼,单身,1.63,N,貌佳清秀,温柔,本科,4,重点大学毕业,Y,N,N,N,N,N,N,家境好。工作稳定。有绿卡,持有绿卡,男性,N,N,N,上海户口,澳大利亚悉尼,未婚,N,N,阳光、开朗、有担当、有责任心、稳重,N,N,N,N,N,N,N,在澳洲工作或愿去悉尼上海男孩,上海男孩,N
90,女性,1986,江苏,没有上海户口,N,N,1.68,N,颜值高,N,N,N,N,N,N,财务,N,N,N,N,N,N,男性,N,N,N,N,N,未婚,1.75,N,有上进心,N,N,N,N,N,有婚房,N,有固定收入，在上海有房或准备在上海买房,上海有房,N
