id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
791,女性,1983,浙江嘉兴,N,N,单身,1.62,N,气质大方,性格温和,研究生,5,重点大学毕业,N,N,文娱咨询公司,N,有房,父电网工作，母已退休,N,收入尚丰。党员，独生女。内环有房,收入尚丰,男性,1978,1983,1978年到1983年间出生,上海户口,上海,未婚,1.7,N,有上进心、责任心,N,本科,4,N,N,N,N,N,N,N
792,女性,1981,上海,有上海户口,N,N,1.6,N,N,人品好、有爱心,本科,4,N,N,幼儿师范学前教育,幼儿教师,N,N,N,N,N,N,男性,1976,1981,1976年到1981年间出生,N,N,N,1.7,N,有事业心、责任心、爱心,N,大专,3,N,N,N,N,N,N,N
793,女性,1984,江苏,N,N,单身,1.6,N,N,N,研究生,5,重点大学毕业,N,N,外企软件研发,N,N,N,N,年薪较丰,N,男性,1979,1984,1979年到1984年间出生,N,N,未婚,1.7,N,性格好，有责任心,无不良嗜好,本科,4,N,N,N,N,N,N,N
794,女性,1983,浙江,有上海户口,N,单身,N,N,N,N,研究生,5,N,N,N,保险公司,N,有房,N,N,备有婚房,N,男性,1978,1983,1978年到1983年间出生,N,N,N,1.68,N,人品好，有责任心,N,本科,4,工作稳定,N,N,N,N,N,N
795,女性,1986,N,有上海户口,N,单身,1.68,N,N,传统,本科,4,N,N,N,国际贸易,N,N,N,N,懂日语、英语,N,男性,1980,1986,1980年到1986年间出生,N,N,未婚,N,N,人品好,N,N,N,N,N,N,N,N,N,N
796,女性,1976,N,有上海户口,N,单身,1.63,N,N,本分、温柔善良、传统,N,N,N,N,N,大学教师,N,有房,父母国企退休，有一弟弟，均在上海,N,有房无贷,有一弟弟,男性,1969,1975,1969年到1975年间出生,上海户口,N,N,N,N,诚实正派,N,N,N,工作稳定,N,N,N,身体健康,N,N
797,女性,1986,上海,有上海户口,上海,离异,1.67,N,N,N,本科,4,重点大学毕业,N,N,区政府,N,有房,N,N,事业编制。备有婚房,N,男性,1980,1986,1980年到1986年间出生,N,N,N,1.74,N,为人正直，有责任,N,本科,4,N,N,N,N,身体健康,N,N
798,女性,1990,N,N,N,单身,1.63,N,貌佳甜美,随和善良、体贴大方,本科,4,N,N,N,外资银行,N,N,家境好,N,独生女,N,男性,1987,1993,1987年到1993年间出生,N,N,未婚,1.73,N,阳光、有担当、有责任心、稳重,N,本科,4,N,N,要有婚房,N,有缘,N,N
799,女性,1981,N,有上海户口,N,单身,1.6,N,N,思想传统、成熟稳重、生活自立,研究生,5,N,N,N,浦东外企,N,N,N,N,N,生活自立,男性,1975,1981,1975年到1981年间出生,N,N,N,1.7,N,有事业心、责任心,N,本科,4,N,N,N,N,N,N,N
800,女性,1987,N,有上海户口,N,N,1.6,N,美丽,大气、善良,研究生,5,N,N,N,大学老师,N,有房,N,N, 备有婚房,N,男性,1977,1983,1977年到1983年间出生,N,N,未婚,1.7,N,责任心、阳光,N,本科,4,N,N,N,N,户籍不限,N,N
801,女性,1972,N,有上海户口,N,单身,1.65,N,N,性格开朗、热爱生活、积极向上、传统,本科,4,重点大学毕业,N,N,国企高级工程师,N,有房,N,N,备有婚房,N,男性,1969,1976,1969年到1976年间出生,N,N,未婚,N,N,有责任心,N,大专,3,工作稳定,N,N,N,未婚或者离异（最好没有带小孩）,N,N
802,女性,1980,N,有上海户口,N,N,1.6,N,N,N,研究生,5,重点大学毕业,N,N,证券公司,N,有房,N,N,浦东有房超百平，收入丰,N,男性,1975,1982,1975年到1982年间出生,N,N,未婚,N,N,有责任心,N,本科,4,稳定工作,N,N,N,身体健康,N,N
803,女性,1984,N,N,N,单身,1.67,N,身材匀称,N,本科,4,重点大学毕业,N,N,金融机构投资总监,N,N,父母均国企退休,N,工作地点在北外滩，收入优厚,N,男性,1978,1985,1978年到1985年间出生,上海户口,N,N,1.73,N,人品好，有担当,N,本科,4,N,N,N,N,N,N,N
804,女性,1988,山东,有上海户口,N,N,1.6,55,苗条,温柔善良、善解人意、孝顺、心灵手巧,研究生,5,N,N,N,事业单位,N,有房,父母均为国企退休干部,N,备有婚房,苗条,男性,1981,1988,1981年到1988年间出生,N,N,N,1.72,N,忠厚善良、孝顺长辈,N,本科,4,N,N,N,N,N,N,N
805,女性,1989,江苏,没有上海户口,N,N,1.61,N,漂亮大方,善良孝顺、温柔体贴,研究生,5,N,N,N,上市公司法务,N,N,N,N,N,N,男性,1983,1990,1983年到1990年间出生,N,N,N,1.7,N,成熟稳重、善良孝顺、有责任心、有上进心,N,本科,4,N,N,N,N,N,N,N
806,女性,1980,上海,有上海户口,N,单身,1.6,N,N,N,本科,4,N,N,N,平面设计,N,N,N,N,N,N,男性,1975,1982,1975年到1982年间出生,N,N,N,1.7,N,人品好,N,N,N,有工作,N,有婚房,N,N,N,N
807,女性,1987,重庆,没有上海户口,N,单身,1.6,N,N,N,本科,4,N,N,N,外贸企业,N,N,N,N,英语专业八级。日语一级,N,男性,1980,1987,1980年到1987年间出生,N,N,N,1.7,N,N,不抽烟,本科,4,N,N,N,N,身体健康,N,N
808,男性,1988,上海,N,N,单身,1.73,N,帅气,阳光、成熟、稳重,研究生,5,N,Y,N,从事翻译,N,有房,N,N,家境好。备有婚房,N,女性,1983,1991,1983年到1991年间出生,N,N,未婚,N,清秀,善良,N,N,N,N,N,N,N,N,N,N
809,女性,1989,N,没有上海户口,N,N,1.72,N,N,N,本科,4,N,N,N,金融,N,N,N,N,N,N,男性,1981,1989,1981年到1989年间出生,N,N,N,N,N,N,N,本科,4,有稳定工作,N,N,N,户籍不限,N,N
810,女性,1982,N,有上海户口,N,单身,1.63,N,N,N,研究生,5,N,N,N,医生,N,有房,N,N,独生女,N,男性,1977,1985,1977年到1985年间出生,N,上海,未婚,1.76,N,N,N,本科,4,N,N,N,N,N,N,N
